id,date,product,category,rating,text
1,2025-09-01,Alpha,Delivery,2,"배송이 너무 느려서 불만입니다. 포장이 구겨져서 왔어요."
2,2025-09-02,Alpha,Quality,5,"품질이 정말 좋아요. 아주 만족합니다! 또 구매할 거예요."
3,2025-09-03,Beta,Support,3,"지원팀 응답은 보통이었고, 결국 문제는 해결됐습니다."
4,2025-09-04,Beta,Usability,1,"최악의 경험이에요. 사용하기 너무 불편하고 자꾸 오류가 납니다."
5,2025-09-05,Gamma,Features,4,"새로운 기능이 유용하고 전반적으로 좋습니다. 추천해요."
6,2025-09-06,Gamma,Price,2,"가성비가 별로예요. 가격 대비 성능이 아쉽습니다."
7,2025-09-07,Alpha,Delivery,5,"배송이 빨랐고 포장도 아주 깔끔했습니다. 최고!"
8,2025-09-08,Beta,Quality,3,"품질은 무난합니다. 기대보단 아니지만 쓸만해요."
9,2025-09-09,Gamma,Support,4,"고객 지원이 친절했고 문제를 빠르게 처리했습니다."
10,2025-09-10,Alpha,Usability,1,"앱이 자꾸 멈춥니다. 정말 별로예요. 개선이 필요합니다."


